Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Ivan Rabb,85,5.7,4.3,1.0,55.5,20.0,74.3,55.9,16.3,3.2
Luther Rackley,278,6.3,4.6,0.6,46.1,0.0,63.1,46.1,12.6,6.0
Howie Rader,13,1.3,-,1.1,15.6,30.0,-,-0.6
Mark Radford,97,3.6,0.8,1.7,50.7,28.6,45.8,51.8,11.3,0.4
Wayne Radford,52,3.9,1.3,1.1,47.4,80.0,9.7,0.7
Dino Radja,224,16.7,8.4,1.6,49.7,0.0,73.5,49.7,17.4,14.3
Vladimir Radmanović,737,8.0,3.8,1.4,41.5,37.8,75.8,50.9,12.7,26.5
Aleksandar Radojević,15,1.7,2.4,0.5,30.8,-,62.5,30.8,-0.9,-0.4
Frank Radovich,37,2.4,1.4,0.1,39.8,50.0,9.8,0.0
Moe Radovich,4,3.5,0.3,2.0,38.5,100.0,20.0,0.1
Miroslav Raduljica,53,3.6,2.1,0.4,53.0,-,82.5,53.0,14.7,1.1
Ray Radziszewski,1,0.0,2.0,1.0,0.0,-,-8.9,-0.1
Ray Ragelis,51,1.3,1.5,0.6,26.0,62.1,6.1,-0.4
Sherwin Raiken,6,1.5,1.3,1.0,14.3,37.5,-3.2,-0.3
Ed Rains,83,3.5,1.5,0.7,42.3,0.0,62.6,42.3,8.2,0.7
Igor Rakočević,42,1.9,0.4,0.8,37.9,41.7,80.6,42.2,8.4,0.1
Kurt Rambis,880,5.2,5.6,1.1,53.4,0.0,68.9,53.4,13.1,38.3
Peter John Ramos,6,1.8,0.7,0.0,50.0,-,50.0,50.0,8.2,0.0
Cal Ramsey,13,7.9,5.6,0.9,38.3,56.8,12.1,0.1
Frank Ramsey,623,13.4,5.5,1.8,39.9,80.4,15.5,49.2
Ray Ramsey,2,1.0,-,0.0,0.0,100.0,-,0.0
Mark Randall,127,2.6,1.3,0.4,44.3,15.4,72.2,45.3,11.6,1.0
Chasson Randle,3,78,1.7,5.3,0.7,1.2,1.7,1.7,0.0,41.1,0.0,37.8,83.3,80.2,0.0,50.8,6.7,10.8,0.0,1.3
Julius Randle,64,375,19.5,16.1,9.7,9.0,3.1,2.8,46.0,49.3,27.7,29.5,73.3,72.4,49.2,51.1,17.5,17.7,2.7,20.5
Anthony Randolph,252,7.1,4.3,0.7,45.3,24.1,74.0,46.0,16.5,5.8
Shavlik Randolph,146,2.3,2.5,0.2,44.9,16.7,54.4,45.1,12.6,2.2
Zach Randolph,1116,16.6,9.1,1.8,47.1,27.3,76.4,47.8,19.3,81.1
Wally Rank,25,2.2,1.2,0.7,36.8,-,46.4,36.8,4.0,-0.4
Kelvin Ransey,474,11.4,1.9,5.2,45.4,13.2,78.2,45.6,14.8,17.9
Sam Ranzino,39,2.2,1.0,0.6,33.3,70.3,9.5,0.2
Bobby Rascoe,159,7.7,2.8,1.3,42.4,14.3,76.8,42.6,13.6,5.9
Blair Rasmussen,532,9.6,5.7,0.9,47.2,25.7,76.7,47.3,13.3,19.0
Xavier Rathan-Mayes,5,5.8,1.0,3.6,28.6,7.1,44.4,29.8,0.9,-0.4
George Ratkovicz,343,9.2,6.9,2.3,37.2,67.3,15.0,28.6
Ed Ratleff,338,8.3,4.0,2.7,45.4,80.3,13.3,13.8
Mike Ratliff,60,4.0,3.2,0.6,41.7,53.6,10.2,-0.2
Theo Ratliff,810,7.2,5.7,0.6,49.6,0.0,71.0,49.6,14.3,47.9
Andy Rautins,5,1.6,0.2,0.6,42.9,25.0,50.0,50.0,-1.2,-0.2
Leo Rautins,32,1.5,1.1,1.0,35.0,-,60.0,35.0,5.8,-0.1
Allan Ray,47,6.2,1.5,0.9,38.6,41.4,76.4,47.9,10.0,0.6
Clifford Ray,784,7.4,8.9,2.2,52.4,0.0,58.8,52.4,14.4,56.7
Don Ray,61,6.0,-,1.0,32.3,69.8,-,1.3
James Ray,103,3.2,2.2,0.7,42.8,33.3,62.9,42.9,10.0,-0.3
Jim Ray,8,1.1,0.6,0.6,17.6,60.0,0.0,-0.2
Jimmy Rayl,101,11.1,3.0,2.7,38.1,34.1,82.3,42.6,10.7,4.8
Craig Raymond,241,6.9,6.3,1.4,45.2,0.0,63.1,45.2,10.9,7.5
Connie Rea,20,1.2,1.6,0.8,20.9,31.3,4.4,-0.6
