Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Sheldon Mac,30,3.0,1.1,0.5,40.0,23.3,85.2,44.7,10.1,0.5
Todd MacCulloch,223,6.1,4.0,0.5,54.1,-,64.2,54.1,16.9,11.9
Ronnie MacGilvray,6,1.3,1.5,1.8,16.7,57.1,7.9,-0.1
Don MacLean,319,10.9,3.8,1.3,45.5,28.4,76.5,46.5,15.1,9.4
Mike Macaluso,30,1.6,0.8,0.1,43.2,58.8,10.2,0.0
Ed Macauley,641,17.5,7.5,3.2,43.6,76.1,20.4,100.4
Scott Machado,10,1.8,0.1,0.9,58.3,50.0,100.0,62.5,13.7,0.0
Arvydas Macijauskas,19,2.3,0.5,0.3,34.1,25.0,86.7,37.8,8.3,0.0
Ollie Mack,128,7.2,2.5,1.8,45.8,0.0,67.4,45.8,12.0,2.5
Sam Mack,259,7.8,2.1,1.3,40.0,37.4,83.1,49.3,12.2,7.4
Shelvin Mack,456,6.6,2.0,3.1,42.3,33.0,73.1,47.8,12.3,10.3
Malcolm Mackey,22,1.5,1.1,0.0,37.8,0.0,50.0,37.8,12.6,0.1
Rudy Macklin,160,6.4,2.9,0.8,44.9,0.0,77.6,44.9,10.0,3.2
Vernon Macklin,23,2.0,1.5,0.2,54.3,-,57.1,54.3,18.2,0.5
Johnny Macknowski,117,7.0,1.9,1.1,31.7,72.7,-,2.7
Daryl Macon,4,12,0.8,2.7,0.0,1.0,0.3,0.7,33.3,36.7,50.0,46.2,-,57.1,50.0,46.7,-3.1,4.3,0.0,-0.1
Mark Macon,251,6.7,1.9,1.7,38.4,27.0,73.5,39.4,8.9,0.1
J.P. Macura,1,3,0.0,2.0,0.0,1.0,0.0,0.7,-,33.3,-,0.0,-,-,-,33.3,0.0,5.4,0.0,0.0
Kyle Macy,551,9.5,2.2,4.0,50.1,33.7,87.3,52.3,14.0,36.0
Jack Maddox,1,0.0,-,1.0,-,-,-,0.0
Tito Maddox,9,1.2,0.8,0.6,25.0,0.0,62.5,25.0,11.2,0.0
Gerald Madkins,48,1.7,0.5,1.4,36.6,37.5,76.2,45.1,8.7,0.3
Mark Madsen,453,2.2,2.6,0.4,45.7,6.3,52.7,45.7,8.1,8.2
Norm Mager,24,5.2,2.0,1.0,28.2,78.6,-,0.0
Josh Magette,8,26,1.5,2.2,0.8,1.0,0.6,2.4,33.3,32.8,25.0,34.6,50.0,90.0,36.7,40.2,5.1,10.9,-0.1,0.3
Corey Maggette,827,16.0,4.9,2.1,45.3,32.4,82.2,47.9,17.9,62.2
Dave Magley,14,0.9,0.7,0.1,25.0,0.0,50.0,25.0,3.9,-0.1
Jamaal Magloire,680,7.2,6.5,0.6,48.0,0.0,63.9,48.0,13.5,27.7
Randolph Mahaffey,321,11.9,8.0,1.6,44.5,0.0,68.4,44.5,12.3,16.7
Ian Mahinmi,38,618,7.4,5.2,5.7,4.4,1.3,0.6,49.5,53.3,19.2,16.0,61.9,61.2,50.7,53.5,14.2,13.0,1.4,26.1
John Mahnken,414,5.8,2.9,1.3,27.2,65.0,10.1,1.2
Brian Mahoney,19,3.1,0.7,0.6,29.8,0.0,60.0,29.8,0.3,-0.4
Mo Mahoney,8,1.5,1.1,0.3,33.3,80.0,9.5,0.0
Rick Mahorn,1117,6.9,6.2,1.0,49.3,13.2,70.4,49.3,11.6,51.7
Dan Majerle,955,11.4,4.5,2.9,43.1,35.8,74.1,50.5,13.8,78.5
Renaldo Major,1,5.0,2.0,0.0,20.0,-,50.0,20.0,-3.7,-0.1
Thon Maker,60,255,4.7,4.7,2.8,2.8,0.7,0.6,48.2,43.3,34.4,32.9,66.4,67.3,53.9,50.1,13.7,11.9,1.5,6.3
Lionel Malamed,44,5.9,-,1.4,33.4,83.1,-,1.7
Jeff Malone,905,19.0,2.6,2.4,48.4,26.8,87.1,48.7,15.2,54.2
Karl Malone,1476,25.0,10.1,3.6,51.6,27.4,74.2,51.8,23.9,234.6
Moses Malone,1455,20.3,12.3,1.3,49.5,9.6,76.0,49.5,22.0,179.1
Matt Maloney,295,7.4,1.7,2.9,40.8,37.2,79.7,51.2,10.6,9.5
Steve Malovic,39,2.1,2.2,0.7,46.3,-,66.7,46.3,7.2,0.3
Mike Maloy,71,6.2,3.8,0.7,42.4,0.0,70.2,42.4,12.8,0.9
Ted Manakas,5,2.4,0.6,0.4,40.0,100.0,7.2,0.0
John Mandic,81,4.1,-,1.1,31.6,66.0,-,2.4
Frank Mangiapane,6,0.8,-,0.0,15.4,33.3,-,-0.1
Terance Mann,41,41,2.4,2.4,1.3,1.3,1.3,1.3,46.8,46.8,35.0,35.0,66.7,66.7,51.3,51.3,10.6,10.6,0.8,0.8
Danny Manning,883,14.0,5.2,2.3,51.1,20.6,72.9,51.3,16.9,55.1
Ed Manning,604,5.9,4.5,0.8,44.8,12.5,76.4,44.8,10.8,14.6
Guy Manning,73,8.3,4.8,0.5,39.0,25.0,57.6,39.2,14.1,0.9
