Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Mike D'Antoni,180,3.4,1.5,2.0,41.4,0.0,73.5,41.4,10.2,2.0
Mike Dabich,10,2.0,1.3,0.2,66.7,-,44.4,66.7,12.0,0.2
Ed Dahler,14,2.5,1.6,0.4,36.8,100.0,10.3,0.1
Quintin Dailey,528,14.1,2.5,2.3,45.4,15.8,77.9,45.6,15.1,12.7
Samuel Dalembert,886,7.7,7.8,0.5,52.1,8.3,70.6,52.1,15.4,51.3
Howie Dallmar,146,9.6,-,2.3,28.3,69.8,-,15.1
Erick Dampier,987,7.4,7.1,0.8,49.8,12.5,62.6,49.8,14.3,52.7
Louie Dampier,960,15.9,2.6,4.9,44.4,35.8,82.0,47.4,15.2,74.1
Bob Dandridge,839,18.5,6.8,3.4,48.4,16.7,78.0,48.4,16.7,80.3
Antonio Daniels,872,7.6,1.8,3.4,44.4,31.1,79.3,47.9,14.6,47.0
Erik Daniels,21,0.6,0.9,0.2,33.3,50.0,-,36.1,4.6,-0.1
Lloyd Daniels,200,7.1,2.2,1.6,40.3,31.6,74.3,45.8,11.5,3.3
Marquis Daniels,548,7.9,2.8,1.8,45.1,23.5,72.1,46.4,12.9,16.5
Mel Daniels,639,18.4,14.9,1.8,46.8,8.8,65.7,46.8,20.1,64.8
Troy Daniels,47,339,4.3,6.6,1.1,1.3,0.4,0.5,38.7,40.1,34.8,39.5,62.5,79.9,51.1,54.6,8.4,10.4,0.6,5.1
Sasha Danilović,75,12.8,2.4,2.0,43.9,37.9,78.9,51.8,11.7,4.2
Adrian Dantley,955,24.3,5.7,3.0,54.0,17.1,81.8,54.0,21.5,134.2
Pete Darcey,12,0.9,0.8,0.2,16.7,55.6,-5.7,-0.2
Jimmy Darden,26,8.1,-,2.6,32.1,68.8,-,-0.2
Ollie Darden,223,9.2,6.2,1.0,43.5,18.2,69.5,43.6,13.4,7.7
Yinka Dare,110,2.1,2.6,0.0,39.6,-,57.0,39.6,6.2,-0.7
Jesse Dark,47,3.6,0.8,0.6,47.1,55.0,11.0,0.3
Rick Darnell,11,2.4,3.3,0.8,36.7,-,57.1,36.7,4.7,-0.1
Jimmy Darrow,5,2.4,1.4,1.2,20.0,85.7,5.9,-0.1
Luigi Datome,55,3.4,1.4,0.4,41.4,31.6,81.8,48.1,11.3,0.3
Brad Daugherty,548,19.0,9.5,3.7,53.2,14.3,74.7,53.2,18.9,65.2
Mack Daughtry,4,3.3,1.3,0.8,40.0,-,100.0,40.0,11.9,0.1
Kornél Dávid,109,5.0,2.8,0.6,44.6,0.0,81.7,44.6,12.5,2.5
Jermareo Davidson,52,3.1,1.8,0.3,42.5,-,57.8,42.5,10.5,0.0
Bob Davies,462,14.3,2.9,4.9,37.8,75.9,18.0,49.7
Brandon Davies,78,3.7,2.5,0.7,41.1,22.7,64.4,43.0,8.7,0.3
Anthony Davis,62,528,26.1,24.0,9.3,10.4,3.2,2.2,50.3,51.5,33.0,31.9,84.6,80.2,53.6,52.9,27.4,27.4,11.1,83.1
Antonio Davis,903,10.0,7.5,1.1,44.8,8.7,72.7,44.8,14.1,59.6
Aubrey Davis,59,4.9,-,0.2,28.1,63.5,-,3.9
Baron Davis,835,16.1,3.8,7.2,40.9,32.0,71.1,46.5,17.8,63.1
Ben Davis,40,1.4,1.3,0.1,35.6,-,46.2,35.6,12.5,0.1
Bill Davis,47,1.8,-,0.2,24.0,34.1,-,0.2
Bob Davis,9,1.8,0.6,0.2,21.4,66.7,-1.0,-0.3
Brad Davis,961,8.2,1.8,4.9,51.0,32.1,82.8,53.4,14.7,53.6
Brian Davis,68,1.9,0.8,0.3,31.7,33.3,73.5,32.1,9.2,0.0
Charles Davis,415,5.3,2.4,0.7,45.1,17.0,73.7,45.5,11.6,5.8
Charlie Davis,144,8.9,1.5,2.2,40.8,80.6,11.9,1.4
Dale Davis,1094,8.0,7.9,0.9,53.0,0.0,56.2,53.0,15.2,86.9
Deyonta Davis,107,4.2,3.2,0.4,59.9,0.0,63.5,59.9,15.4,3.6
Dwight Davis,340,8.6,5.9,1.6,42.3,73.0,12.3,11.4
Ed Davis,28,668,1.8,6.3,3.8,6.6,0.4,0.8,47.8,56.8,-,0.0,50.0,58.3,47.8,56.8,9.5,16.5,0.6,41.9
Emanual Davis,226,4.9,1.9,1.8,39.4,35.2,78.7,47.1,9.6,2.5
Glen Davis,514,8.0,4.4,0.9,44.7,18.2,70.0,44.8,12.4,18.6
