Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Charles O'Bannon,48,2.5,1.4,0.6,40.0,0.0,87.0,40.0,11.7,0.6
Ed O'Bannon,128,5.0,2.5,0.8,36.7,22.2,75.5,38.7,9.1,1.1
John O'Boyle,5,4.2,2.0,1.0,30.8,71.4,3.4,0.0
Bob O'Brien,46,1.8,-,0.2,20.6,46.6,-,-0.1
J.J. O'Brien,2,0.0,0.5,0.0,0.0,-,-,0.0,1.3,0.0
Jim O'Brien,58,4.6,2.4,1.5,42.9,20.0,74.7,44.2,14.6,0.4
Jimmy O'Brien,303,5.9,2.0,4.1,40.2,17.6,83.0,40.7,9.9,4.0
Ralph O'Brien,119,7.1,1.6,1.5,36.0,83.0,12.4,3.1
Johnny O'Bryant,147,3.5,2.4,0.5,40.2,36.0,66.3,41.9,8.0,0.2
Patrick O'Bryant,90,2.1,1.4,0.3,49.4,0.0,58.3,49.4,11.0,0.5
Dermie O'Connell,82,5.8,-,1.9,26.8,53.1,-,-3.1
Andy O'Donnell,25,3.6,-,0.7,35.2,77.8,-,0.3
Buddy O'Grady,146,3.7,-,0.7,26.5,69.1,-,1.6
Fran O'Hanlon,14,1.6,0.3,0.9,36.4,0.0,66.7,36.4,-5.2,0.0
Dick O'Keefe,172,5.2,2.2,0.9,27.2,64.0,-,1.7
Tommy O'Keefe,6,3.8,1.2,1.7,35.7,75.0,-,0.1
Mike O'Koren,407,8.2,3.4,2.1,49.0,27.1,65.1,49.5,12.1,14.6
Grady O'Malley,24,2.1,1.1,0.4,35.0,42.1,8.6,-0.3
Jermaine O'Neal,1011,13.2,7.2,1.4,46.7,14.7,71.5,46.7,17.9,66.0
Shaquille O'Neal,1207,23.7,10.9,2.5,58.2,4.5,52.7,58.2,26.4,181.7
Royce O'Neale,71,222,6.3,5.5,5.5,4.1,2.5,1.8,43.3,44.5,37.7,37.5,76.4,78.0,55.9,54.6,9.5,9.6,4.3,9.9
Mike O'Neill,4,3.0,2.3,0.8,23.5,100.0,4.6,-0.1
Kyle O'Quinn,29,472,3.5,5.4,4.0,4.6,1.8,1.4,49.4,51.7,25.9,21.8,55.0,74.0,53.5,52.4,18.6,17.9,1.1,17.8
Kevin O'Shea,174,5.2,2.3,2.1,33.7,68.0,10.9,3.8
Garland O'Shields,9,0.4,-,0.1,18.2,0.0,-,-0.1
Dan O'Sullivan,45,1.8,1.4,0.2,39.7,0.0,74.3,39.7,8.3,0.3
Charles Oakley,1282,9.7,9.5,2.5,47.1,25.3,76.1,47.4,13.4,89.7
Fabricio Oberto,336,3.2,3.5,0.9,57.6,0.0,61.7,57.6,11.2,13.6
Daniel Ochefu,19,1.3,1.2,0.2,44.4,-,0.0,44.4,6.6,0.0
Greg Oden,105,8.0,6.2,0.5,57.4,-,65.8,57.4,18.7,7.3
Lamar Odom,961,13.3,8.4,3.7,46.3,31.2,69.3,49.5,16.5,77.0
Bud Ogden,74,3.5,1.4,0.6,44.5,69.2,13.4,0.7
Ralph Ogden,32,1.3,1.0,0.3,23.9,66.7,2.5,-0.7
Alan Ogg,80,2.2,1.7,0.2,49.3,0.0,56.8,49.3,9.1,0.8
Don Ohl,727,15.9,3.0,3.1,43.4,73.2,13.2,30.2
Tim Ohlbrecht,3,1.0,0.3,0.3,33.3,-,100.0,33.3,-6.1,-0.1
Semi Ojeleye,69,198,3.4,3.1,2.1,2.0,0.5,0.4,40.8,39.1,37.8,34.0,87.5,68.8,53.1,49.8,7.7,6.6,1.9,3.7
Emeka Okafor,616,12.0,9.7,0.8,51.2,0.0,58.6,51.2,17.0,45.3
Jahlil Okafor,30,220,8.1,11.0,4.2,5.0,1.2,1.0,62.3,53.8,33.3,22.2,64.5,67.5,62.7,53.9,18.3,16.7,1.3,6.6
Elie Okobo,55,108,4.0,4.8,1.6,1.7,2.1,2.2,39.8,39.5,35.2,31.5,70.4,73.7,46.7,46.3,10.6,8.9,1.0,0.5
Josh Okogie,62,136,8.6,8.1,4.3,3.6,1.6,1.4,42.7,40.4,26.6,27.4,79.6,76.5,47.9,46.0,11.5,10.4,2.2,3.4
KZ Okpala,5,5,1.4,1.4,1.0,1.0,0.2,0.2,60.0,60.0,0.0,0.0,50.0,50.0,60.0,60.0,13.7,13.7,0.1,0.1
Mehmet Okur,634,13.5,7.0,1.7,45.8,37.5,79.7,50.3,17.1,54.7
Victor Oladipo,19,421,14.5,17.3,3.9,4.6,2.9,3.9,39.4,44.1,31.7,35.0,81.4,79.4,46.1,49.4,11.3,16.5,0.0,24.3
Hakeem Olajuwon,1238,21.8,11.1,2.5,51.2,20.2,71.2,51.3,23.6,162.8
Mark Olberding,946,9.5,5.3,2.5,49.2,12.2,80.8,49.2,12.6,48.0
Jawann Oldham,329,4.4,4.1,0.5,47.9,0.0,60.7,47.9,10.7,4.3
John Oldham,127,7.3,3.6,1.8,31.9,62.7,-,4.2
Frank Oleynick,102,5.0,0.9,1.1,38.6,70.8,10.3,-0.1
John Olive,35,1.3,0.6,0.1,31.0,-,78.3,31.0,1.0,-0.2
Brian Oliver,118,3.3,1.0,1.0,38.8,22.7,70.5,39.4,8.1,-0.5
Dean Oliver,35,1.8,0.7,1.3,32.0,15.8,76.5,34.0,8.1,-0.2
Jimmy Oliver,78,4.2,1.0,0.7,40.7,34.0,77.2,43.2,9.9,0.3
Kevin Ollie,662,3.8,1.5,2.3,41.0,31.0,79.2,41.2,10.9,14.5
Gene Ollrich,14,3.1,-,1.7,23.6,71.4,-,-0.6
Michael Olowokandi,500,8.3,6.8,0.7,43.5,-,59.7,43.5,10.7,2.5
Bud Olsen,453,4.3,3.3,1.2,43.3,25.0,52.9,43.3,10.9,6.2
Kelly Olynyk,67,500,8.2,9.7,4.6,4.8,1.7,1.9,46.2,47.6,40.6,37.3,86.0,77.5,58.2,55.3,14.6,15.7,3.7,28.6
Miye Oni,10,10,3.5,3.5,1.7,1.7,0.4,0.4,37.5,37.5,36.8,36.8,80.0,80.0,48.4,48.4,9.7,9.7,0.1,0.1
Arinze Onuaku,19,1.8,1.8,0.5,65.2,-,40.0,65.2,14.5,0.2
Chinanu Onuaku,6,3.0,2.3,0.7,58.3,-,100.0,58.3,7.7,0.1
Barry Orms,141,6.3,3.6,1.3,37.0,19.2,53.9,37.2,6.4,-0.8
Johnny Orr,34,2.7,-,0.6,33.9,85.7,-,-0.1
Louis Orr,569,9.7,3.7,1.5,46.8,8.3,78.7,46.8,13.4,25.7
José Ortiz,64,2.9,1.1,0.3,44.3,33.3,59.6,44.6,9.4,0.0
Daniel Orton,51,2.8,2.5,0.5,48.5,0.0,59.7,48.5,11.9,1.0
Chuck Osborne,4,1.3,2.3,0.3,12.5,75.0,4.7,-0.1
Cedi Osman,65,202,11.0,9.6,3.6,3.5,2.4,1.9,43.7,43.7,38.3,36.4,67.0,71.7,53.8,52.4,10.7,11.1,1.6,4.0
Wally Osterkorn,204,7.0,6.0,1.7,33.4,59.2,12.0,8.9
Greg Ostertag,756,4.6,5.5,0.6,48.6,10.0,56.9,48.6,13.1,33.8
Matt Othick,4,2.0,0.5,1.8,60.0,50.0,0.0,80.0,5.9,0.0
Don Otten,219,10.5,6.0,1.4,35.7,76.1,19.5,20.9
Mac Otten,59,2.4,-,0.6,32.9,49.4,-,0.3
Kelly Oubre,56,348,18.7,10.9,6.4,4.1,1.5,0.9,45.2,43.1,35.2,32.9,78.0,77.8,51.7,49.9,14.9,12.5,3.8,12.1
Bo Outlaw,914,5.4,4.9,1.6,56.7,7.9,52.1,56.8,14.2,50.8
Travis Outlaw,622,8.5,3.2,0.8,42.3,33.7,74.4,46.0,13.1,16.5
Claude Overton,15,3.9,1.7,1.0,25.3,66.7,6.3,-0.4
Doug Overton,499,4.5,1.3,2.1,41.2,31.9,81.6,43.8,10.0,2.5
Andre Owens,54,3.6,1.3,1.0,37.0,37.5,71.2,42.8,8.3,0.2
Billy Owens,600,11.7,6.7,2.8,48.1,29.1,62.9,48.8,14.4,28.6
Chris Owens,1,4.0,1.0,0.0,66.7,-,-,66.7,20.1,0.0
Eddie Owens,8,2.6,1.3,0.6,42.9,50.0,8.8,0.0
Jim Owens,58,3.1,0.9,1.1,41.8,76.7,10.9,0.4
Keith Owens,20,1.3,0.8,0.2,28.1,-,80.0,28.1,10.3,0.0
Larry Owens,19,2.8,1.5,0.6,44.2,44.4,53.8,53.5,9.4,0.3
Red Owens,90,5.2,3.5,1.5,31.3,61.4,11.2,1.6
Tariq Owens,3,3,1.3,1.3,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,100.0,100.0,20.0,20.0,8.4,8.4,0.0,0.0
Tom Owens,877,11.3,6.8,1.7,51.3,21.7,74.3,51.4,16.7,61.5
Ray Owes,57,3.1,2.9,0.3,41.7,20.0,56.5,41.9,11.1,0.4
Olumide Oyedeji,93,1.4,2.1,0.1,49.5,-,65.9,49.5,10.5,1.2
