Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Ledell Eackles,441,10.8,2.2,1.7,44.5,33.6,76.7,46.1,13.8,10.8
Jim Eakins,767,10.8,7.3,1.8,50.4,0.0,78.8,50.4,16.5,57.5
Acie Earl,193,5.1,2.7,0.3,40.3,0.0,66.7,40.3,10.6,0.3
Ed Earle,2,2.0,1.0,0.0,50.0,50.0,15.0,0.0
Cleanthony Early,56,4.3,2.2,0.8,34.6,26.3,75.0,39.8,7.2,-0.6
Penny Early,1,0.0,0.0,0.0,-,-,-,-,-,0.0
Mark Eaton,875,6.0,7.9,1.0,45.8,0.0,64.9,45.8,10.9,44.8
Jerry Eaves,168,6.7,1.2,2.5,47.2,7.1,77.3,47.2,11.8,2.6
Devin Ebanks,63,3.6,1.9,0.4,38.5,22.2,72.2,40.4,9.6,0.5
Bill Ebben,8,1.9,1.0,0.5,21.4,75.0,1.1,-0.2
Al Eberhard,220,6.8,3.5,0.8,43.3,79.7,11.2,5.3
Ndudi Ebi,19,2.1,1.0,0.2,48.6,0.0,46.2,48.6,14.6,0.1
Roy Ebron,40,6.2,4.4,0.5,48.8,0.0,51.2,48.8,18.7,1.3
Jarell Eddie,34,2.6,0.9,0.1,30.2,29.2,94.1,41.3,10.1,0.2
Patrick Eddie,4,1.0,0.3,0.0,22.2,-,-,22.2,-8.8,-0.1
Dike Eddleman,267,12.1,4.5,2.1,35.2,63.0,10.9,7.3
Kenton Edelin,10,1.1,2.6,1.0,30.8,-,37.5,30.8,3.3,0.1
Charles Edge,155,7.7,6.3,0.7,50.2,0.0,63.2,50.2,16.3,6.5
Bobby Edmonds,75,7.7,5.0,0.4,43.4,16.7,65.1,43.5,12.1,2.5
Keith Edmonson,87,6.0,1.5,0.6,44.8,0.0,71.9,44.8,12.6,0.4
Tyus Edney,226,7.6,1.7,4.0,40.5,32.2,80.6,42.8,13.6,6.8
Bill Edwards,3,2.0,4.7,1.3,11.1,0.0,40.0,11.1,-0.4,-0.3
Blue Edwards,704,10.8,3.4,2.0,47.5,33.5,77.9,49.9,12.8,24.2
Carsen Edwards,37,37,3.3,3.3,1.3,1.3,0.6,0.6,32.8,32.8,31.6,31.6,68.4,68.4,42.2,42.2,6.9,6.9,0.1,0.1
Corsley Edwards,10,2.7,2.5,0.3,32.3,-,58.3,32.3,8.6,0.1
Doug Edwards,85,2.4,1.8,0.7,37.8,0.0,70.9,37.8,8.4,0.2
Franklin Edwards,296,6.1,1.0,2.6,44.9,3.0,79.5,44.9,12.6,3.9
James Edwards,1168,12.7,5.1,1.3,49.5,4.8,69.8,49.5,14.7,59.7
Jay Edwards,4,1.8,0.5,1.0,42.9,0.0,33.3,42.9,7.8,0.0
John Edwards,65,1.5,1.0,0.1,44.7,-,60.0,44.7,6.0,0.1
Kevin Edwards,604,10.9,2.7,2.7,42.3,33.5,80.3,43.7,12.7,12.5
Shane Edwards,2,1.0,1.0,0.0,33.3,-,-,33.3,-1.0,0.0
Vince Edwards,2,1.5,1.0,0.0,25.0,25.0,-,37.5,3.8,0.0
Johnny Egan,712,7.8,1.8,3.0,42.9,80.5,12.1,23.7
Lonnie Eggleston,2,2.0,-,0.5,25.0,66.7,-,0.0
Bulbs Ehlers,99,8.1,-,1.8,28.6,61.8,-,3.0
Craig Ehlo,873,8.6,3.6,2.8,45.3,36.9,68.9,50.0,13.4,41.2
Rich Eichhorst,1,2.0,1.0,3.0,50.0,-,12.2,0.0
Howard Eisley,786,6.5,1.7,3.5,40.7,35.0,82.7,46.3,11.5,19.5
Obinna Ekezie,143,3.6,2.7,0.2,42.3,0.0,72.0,42.3,11.2,1.7
Khalid El-Amin,50,6.3,1.6,2.9,37.0,33.3,77.8,41.5,12.2,0.6
Don Eliason,1,0.0,-,0.0,0.0,-,-,0.0
Mario Elie,732,8.6,2.8,2.6,47.3,36.5,85.4,53.7,13.1,48.9
Ray Ellefson,6,1.0,2.7,0.0,11.1,100.0,-,-0.1
Henry Ellenson,5,81,0.4,4.0,1.2,2.4,0.2,0.5,14.3,37.2,0.0,34.3,-,77.4,14.3,44.7,-1.3,10.6,-0.1,0.3
