Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Marc Iavaroni,531,4.4,3.2,1.0,45.9,0.0,71.0,45.9,7.9,8.0
Serge Ibaka,55,808,15.4,12.6,8.2,7.4,1.4,0.8,51.2,51.4,38.5,36.0,71.8,75.8,56.4,54.6,17.3,17.2,3.9,67.8
Andre Iguodala,21,1129,4.6,12.0,3.7,5.1,2.4,4.3,43.2,46.5,29.8,33.3,40.0,70.9,51.1,51.3,10.5,15.6,0.6,97.0
Zydrunas Ilgauskas,843,13.0,7.3,1.1,47.6,31.0,78.0,47.8,18.5,66.3
Mile Ilić,5,0.0,0.2,0.0,0.0,-,-,0.0,-48.6,-0.2
Didier Ilunga-Mbenga,234,1.8,1.5,0.2,47.0,0.0,60.7,47.0,10.8,2.4
Ersan İlyasova,63,808,6.6,10.3,4.8,5.7,0.8,1.1,46.6,44.4,36.5,36.5,82.8,77.6,54.6,50.5,14.9,15.4,3.6,48.5
Darrall Imhoff,801,7.2,7.6,1.8,45.8,59.4,12.3,30.1
Tom Ingelsby,75,3.2,1.3,1.0,42.4,20.0,77.3,42.6,11.0,0.8
Joe Ingles,72,478,9.8,8.3,3.9,3.2,5.2,3.6,44.5,44.7,39.9,40.7,78.7,75.1,57.2,57.4,12.6,12.5,4.8,27.9
Damien Inglis,20,1.8,1.6,0.5,35.1,23.1,87.5,39.2,6.7,-0.1
Andre Ingram,6,4.0,1.3,1.2,34.8,41.7,100.0,45.7,10.9,0.1
Brandon Ingram,62,252,23.8,16.3,6.1,5.1,4.2,3.2,46.3,45.9,39.1,36.0,85.1,72.2,53.1,50.2,18.8,13.6,5.1,9.6
McCoy Ingram,24,2.8,4.8,0.8,26.2,46.4,7.6,-0.7
Ervin Inniger,109,8.8,3.5,1.4,43.0,16.7,74.1,43.4,12.2,5.5
Byron Irvin,87,5.2,1.4,0.8,47.1,35.0,72.2,48.1,16.0,2.1
George Irvine,325,9.5,3.0,1.3,51.7,27.4,82.6,52.5,14.0,16.0
Kyrie Irving,20,528,27.4,22.4,5.2,3.7,6.4,5.7,47.8,46.6,39.4,39.0,92.2,87.7,54.6,52.6,26.2,22.2,2.9,61.3
Jonathan Isaac,34,136,11.9,9.3,6.8,5.4,1.4,1.1,47.0,43.5,34.0,33.0,77.9,79.7,51.8,49.6,17.3,13.7,2.5,6.7
Dan Issel,1218,22.6,9.1,2.4,49.9,20.4,79.3,50.0,21.4,157.8
Mike Iuzzolino,122,9.0,2.0,4.3,45.7,40.4,79.8,52.5,12.9,3.7
Allen Iverson,914,26.7,3.7,6.2,42.5,31.3,78.0,45.2,20.9,99.0
Willie Iverson,28,4.9,1.6,2.9,34.2,0.0,60.0,34.2,4.7,-0.1
Royal Ivey,492,3.3,1.1,1.0,40.6,36.1,70.6,45.9,8.4,4.5
Elvin Ivory,20,4.4,3.3,0.5,43.7,25.0,64.7,44.3,14.9,0.1
Wesley Iwundu,52,182,5.8,4.8,2.5,2.5,1.2,1.0,41.6,41.8,34.1,31.9,80.4,79.4,47.6,46.3,10.3,8.9,1.7,4.2
