Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Chris Babb,14,1.6,1.2,0.2,26.7,22.2,-,36.7,3.7,0.0
Luke Babbitt,381,4.8,2.2,0.6,40.8,40.2,74.7,53.2,10.1,7.2
Miloš Babić,21,1.8,1.0,0.5,37.5,-,65.0,37.5,10.9,-0.1
Johnny Bach,34,3.5,-,0.7,28.6,68.0,-,0.8
Dwayne Bacon,39,135,5.7,5.3,2.6,2.3,1.3,1.0,34.8,40.3,28.4,34.5,66.0,71.8,38.7,45.2,6.1,7.9,-0.8,0.3
Henry Bacon,47,3.5,1.7,0.8,36.6,20.0,60.3,37.2,4.3,-0.1
Jim Baechtold,321,9.7,3.1,2.1,38.8,78.3,13.1,14.8
Dalibor Bagarić,95,2.6,2.5,0.4,36.1,0.0,55.9,36.1,7.0,-0.9
John Bagley,665,8.7,2.6,6.0,43.7,24.1,77.9,44.8,13.0,16.6
Marvin Bagley,13,75,14.2,14.8,7.5,7.6,0.8,1.0,46.7,49.7,18.2,28.8,80.6,70.3,47.9,51.7,15.6,18.3,0.4,4.0
Carl Bailey,1,2.0,0.0,0.0,100.0,-,-,100.0,-6.8,0.0
Gus Bailey,147,2.6,1.7,1.1,40.6,100.0,51.0,40.8,11.3,0.8
James Bailey,595,8.8,5.0,0.8,48.4,7.7,70.3,48.4,13.0,16.3
Thurl Bailey,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0
Toby Bailey,73,3.3,1.7,0.6,40.7,20.0,69.2,41.4,11.0,1.0
Cameron Bairstow,36,1.2,1.0,0.2,29.6,20.0,84.6,30.6,5.0,-0.1
Jimmie Baker,5,1.2,2.8,0.8,20.0,-,0.0,20.0,-3.2,-0.2
LaMark Baker,1,0.0,0.0,0.0,0.0,-,-,0.0,-46.6,-0.1
Maurice Baker,5,0.0,0.4,0.2,0.0,-,-,0.0,-0.2,0.0
Norm Baker,4,0.0,-,0.0,0.0,-,-,0.0
Ron Baker,96,3.1,1.4,1.8,35.8,26.5,70.7,41.7,7.4,0.2
Vin Baker,791,15.0,7.4,1.9,48.5,21.5,63.8,48.7,16.3,47.0
Wade Baldwin,56,3.1,1.2,1.4,35.5,25.0,77.6,38.2,7.1,-0.3
Renaldo Balkman,221,4.0,3.5,0.6,51.0,17.2,54.2,51.8,14.3,7.2
Cedric Ball,7,1.1,1.6,0.0,37.5,-,100.0,37.5,10.8,0.0
Lonzo Ball,63,162,11.8,10.7,6.1,6.1,7.0,6.6,40.3,39.0,37.5,34.1,56.6,48.7,51.1,48.1,13.1,12.5,2.4,6.0
Greg Ballard,802,12.4,6.1,2.2,47.2,33.8,78.7,47.7,15.7,54.0
Herschel Baltimore,58,2.4,-,0.3,20.2,46.4,-,0.3
Mohamed Bamba,62,109,5.4,5.7,4.9,4.9,0.7,0.7,46.2,47.1,34.6,32.8,67.4,62.4,52.6,52.6,17.5,16.3,2.5,4.2
Gene Banks,468,11.3,5.8,2.9,53.9,4.3,73.0,53.9,15.1,31.2
Marcus Banks,348,5.9,1.5,2.1,43.2,32.7,76.8,46.9,12.2,6.6
Walker Banks,16,2.6,3.1,0.5,50.0,-,41.2,50.0,6.4,0.2
Ken Bannister,253,5.9,3.5,0.4,48.8,0.0,49.2,48.8,8.9,0.6
Mike Bantom,706,12.1,6.4,2.3,46.8,20.0,69.2,46.8,14.3,34.8
John Barber,5,1.4,1.2,0.0,25.0,50.0,4.2,0.0
Leandro Barbosa,850,10.6,2.0,2.1,45.9,38.7,82.1,52.6,15.1,37.4
Steve Bardo,33,2.2,1.8,1.3,32.9,10.0,69.6,33.5,8.1,-0.1
J.J. Barea,29,831,7.7,8.9,1.8,2.1,3.9,3.9,41.1,42.4,37.6,35.2,90.9,79.4,48.8,48.5,14.6,14.5,0.7,23.8
Andrea Bargnani,550,14.3,4.6,1.2,43.9,35.4,82.4,48.6,14.4,18.9
Cliff Barker,149,3.7,1.8,2.0,31.6,66.2,10.8,2.0
