Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Joe Fabel,30,2.1,-,0.1,26.0,50.0,-,-0.2
John Fairchild,165,6.6,3.2,0.7,40.4,36.8,68.1,41.0,11.9,1.8
Tacko Fall,7,7,3.3,3.3,2.1,2.1,0.1,0.1,78.6,78.6,-,-,33.3,33.3,78.6,78.6,28.4,28.4,0.2,0.2
Phil Farbman,48,3.2,-,0.8,30.7,67.9,-,1.4
Kenneth Faried,478,11.4,8.1,1.0,54.6,22.2,65.4,54.8,19.7,38.8
Dick Farley,211,6.5,2.5,1.8,38.4,70.0,12.0,8.2
Jordan Farmar,504,7.7,1.9,2.9,42.3,37.4,73.9,50.7,13.3,13.9
Desmon Farmer,11,2.4,0.6,1.0,31.0,25.0,100.0,39.7,6.0,0.0
Jim Farmer,136,5.3,1.4,0.8,42.8,28.2,73.0,44.5,10.9,0.7
Mike Farmer,423,6.7,4.6,1.3,39.3,81.4,9.9,6.3
Tony Farmer,101,5.3,3.2,0.8,39.5,18.9,77.0,40.8,15.5,3.2
Bob Faught,51,6.7,-,0.6,29.5,57.5,-,1.7
Vítor Faverani,37,4.4,3.5,0.4,43.5,30.0,64.9,47.6,11.0,0.3
Derrick Favors,51,683,9.0,11.4,9.8,7.4,1.6,1.1,61.7,53.0,14.3,20.7,56.3,66.1,61.8,53.3,18.5,18.9,4.2,53.6
Nick Fazekas,26,4.1,3.4,0.4,56.1,0.0,68.2,56.1,19.6,0.8
Dave Fedor,7,0.9,0.9,0.1,30.0,0.0,2.2,-0.1
Bob Feerick,221,13.3,-,2.0,36.2,80.5,-,41.7
Butch Feher,48,5.2,1.5,0.8,53.1,76.8,15.9,1.5
Jamie Feick,201,4.5,7.1,0.7,42.4,40.0,62.9,43.2,12.4,8.2
Ron Feiereisel,10,3.0,0.6,0.6,28.6,87.5,12.2,0.0
George Feigenbaum,17,3.1,1.4,1.1,22.8,48.5,2.2,-0.6
Dave Feitl,275,4.3,3.0,0.5,43.3,0.0,75.1,43.3,9.8,1.4
Kay Felder,58,3.8,1.0,1.3,36.4,26.8,75.4,38.8,9.3,-0.4
Cristiano Felício,22,234,3.9,4.5,4.6,4.1,0.7,0.7,63.0,57.2,0.0,0.0,78.3,67.9,63.0,57.2,12.8,14.0,1.0,8.7
Carrick Felix,7,2.7,0.9,0.6,50.0,40.0,75.0,57.1,13.3,0.0
Noel Felix,12,1.5,1.1,0.2,24.0,33.3,62.5,26.0,-1.1,-0.3
Ray Felix,637,10.9,8.9,0.7,41.2,67.8,16.9,39.6
Raymond Felton,971,11.2,3.0,5.2,41.2,32.9,79.0,45.9,13.8,40.2
Jake Fendley,103,2.8,1.2,0.9,34.4,74.2,10.2,2.1
Warren Fenley,33,2.6,-,0.5,22.5,51.1,-,-0.1
Desmond Ferguson,7,1.9,0.6,0.1,41.7,37.5,0.0,54.2,11.3,0.0
Terrance Ferguson,56,191,3.9,4.8,1.3,1.4,0.9,0.7,35.5,40.6,29.2,33.7,75.0,75.3,46.6,52.5,3.7,5.8,0.6,4.6
Rudy Fernández,249,9.1,2.4,2.2,39.9,36.0,84.0,51.1,14.0,14.2
Bruno Fernando,56,56,4.3,4.3,3.5,3.5,0.9,0.9,51.8,51.8,13.5,13.5,56.9,56.9,53.0,53.0,11.9,11.9,0.8,0.8
Eric Fernsten,218,2.4,1.7,0.4,44.5,-,67.5,44.5,11.7,3.3
Al Ferrari,371,6.8,2.2,2.5,36.8,76.0,9.4,8.9
Rolando Ferreira,12,0.8,1.1,0.1,5.6,-,87.5,5.6,-7.6,-0.2
Duane Ferrell,583,6.4,1.9,0.9,48.0,28.8,75.0,48.7,12.9,15.7
Yogi Ferrell,50,249,4.4,7.8,1.0,2.1,1.4,2.3,42.0,42.2,30.4,36.7,85.7,83.7,48.4,50.7,12.2,12.2,0.7,7.4
Arnie Ferrin,178,5.8,4.0,1.6,33.2,68.6,-,7.6
Bob Ferry,634,9.1,5.3,1.4,43.3,66.4,13.7,20.2
Danny Ferry,917,7.0,2.8,1.3,44.6,39.3,84.0,50.6,11.8,34.8
Kyrylo Fesenko,135,2.3,2.0,0.3,49.6,0.0,41.0,49.6,8.5,0.9
Bobby Fields,22,2.5,1.4,0.9,45.8,28.6,61.5,47.9,9.2,0.2
Kenny Fields,184,6.2,2.5,1.0,47.4,18.8,73.3,47.5,11.7,4.2
Landry Fields,255,6.8,4.3,1.6,47.3,33.2,66.6,51.5,12.1,10.5
Ron Filipek,19,2.3,1.3,0.4,38.3,50.0,13.5,0.0
Greg Fillmore,49,2.4,2.2,0.4,40.3,46.7,8.1,0.3
Larry Finch,128,8.6,1.7,2.4,43.1,34.2,82.9,44.5,9.7,1.7
Hank Finkel,551,5.1,3.9,0.8,44.9,66.2,12.6,13.5
Michael Finley,1103,15.7,4.4,2.9,44.4,37.5,81.1,49.2,16.0,85.2
Danny Finn,142,7.3,3.9,4.0,32.7,59.9,12.9,1.0
Dorian Finney-Smith,71,254,9.5,6.9,5.7,4.3,1.6,1.2,46.6,42.6,37.6,33.0,72.2,72.5,57.5,51.6,12.3,10.3,4.9,9.7
Matt Fish,50,3.5,2.2,0.5,50.0,0.0,62.5,50.0,11.9,0.6
Derek Fisher,1287,8.3,2.1,3.0,39.9,37.4,81.7,46.6,11.7,62.3
Richard Fisher,12,3.1,2.7,0.4,52.9,-,100.0,52.9,25.1,0.2
Gerald Fitch,18,4.7,1.7,1.8,33.7,26.9,73.9,37.6,10.2,0.1
Bob Fitzgerald,78,3.1,-,0.6,19.4,62.9,-,-0.2
Dick Fitzgerald,61,4.5,-,0.7,23.7,68.3,-,-0.9
Marcus Fizer,289,9.6,4.6,1.2,43.5,19.1,69.1,43.9,13.4,2.7
Jerry Fleishman,262,5.8,4.6,1.6,27.7,63.8,13.7,7.8
Al Fleming,20,2.0,1.5,0.4,48.4,58.8,10.7,0.0
Ed Fleming,292,8.6,5.2,1.9,35.9,73.1,14.1,9.8
Vern Fleming,893,11.3,3.4,4.8,49.8,18.1,76.4,50.1,15.1,52.0
Luis Flores,16,2.2,0.2,0.7,48.3,50.0,100.0,56.9,10.1,0.0
Bruce Flowers,53,4.9,3.4,0.9,53.4,0.0,77.4,53.4,15.2,1.7
Sleepy Floyd,957,12.8,2.6,5.4,44.4,32.4,81.5,47.0,15.5,50.6
Jonny Flynn,163,9.2,1.9,3.9,40.0,33.8,80.9,44.2,11.3,-1.1
Mike Flynn,211,6.2,2.1,2.2,41.9,25.3,62.9,42.9,12.1,2.8
Larry Fogle,2,1.0,1.5,0.0,20.0,-,-0.5,0.0
Jack Foley,11,4.8,1.5,0.5,39.2,86.7,15.6,0.1
Isaac Fontaine,6,1.8,0.8,0.7,21.4,20.0,66.7,25.0,-0.9,-0.2
Levi Fontaine,35,3.8,0.4,0.6,36.6,75.7,12.1,-0.3
