Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Rui Hachimura,48,48,13.5,13.5,6.1,6.1,1.8,1.8,46.6,46.6,28.7,28.7,82.9,82.9,48.9,48.9,13.5,13.5,1.8,1.8
Rudy Hackett,28,5.5,3.3,1.1,41.1,-,61.9,41.1,10.0,0.4
Hamed Haddadi,151,2.2,2.5,0.3,46.3,0.0,63.2,46.3,13.3,1.6
Jim Hadnot,77,17.5,12.2,1.8,46.7,0.0,66.8,46.7,18.2,6.2
Scott Haffner,50,4.3,1.1,1.8,40.3,13.0,66.7,41.0,8.4,-0.1
Cliff Hagan,839,17.7,6.6,3.2,45.4,0.0,79.9,45.4,19.8,85.3
Glenn Hagan,4,1.8,1.0,2.0,42.9,-,100.0,42.9,18.1,0.1
Tom Hagan,73,4.9,1.5,1.8,41.9,32.8,70.7,44.8,10.8,1.1
Robert Hahn,10,1.0,-,0.1,30.8,28.6,-,0.1
Al Hairston,42,2.2,1.0,1.0,33.6,60.0,7.2,-0.5
Happy Hairston,776,14.8,10.3,1.6,47.8,74.1,16.5,70.0
Lindsay Hairston,47,5.8,3.8,0.4,45.6,58.0,14.8,1.0
Malik Hairston,62,2.4,1.2,0.5,51.2,16.7,51.4,52.0,11.7,0.8
P.J. Hairston,111,6.0,2.4,0.5,34.3,29.5,81.0,43.1,7.6,0.9
Marcus Haislip,89,3.5,1.5,0.2,43.7,35.0,65.9,44.9,10.8,0.5
Chick Halbert,303,8.8,7.9,1.4,31.4,63.3,-,17.3
Swede Halbrook,143,5.5,6.6,0.4,34.7,59.1,10.1,0.3
Bruce Hale,142,9.1,1.9,3.0,33.3,76.3,-,9.2
Hal Hale,72,5.0,2.9,2.0,32.6,31.3,67.4,36.9,5.6,1.0
Jack Haley,341,3.5,2.7,0.2,42.5,0.0,65.5,42.5,9.7,2.9
Shaler Halimon,254,6.2,3.1,1.7,40.0,11.1,64.4,40.1,11.8,0.5
Devon Hall,11,11,1.8,1.8,0.6,0.6,1.2,1.2,20.0,20.0,23.5,23.5,50.0,50.0,26.7,26.7,3.1,3.1,-0.2,-0.2
Donta Hall,9,9,4.3,4.3,4.2,4.2,0.4,0.4,68.2,68.2,-,-,50.0,50.0,68.2,68.2,13.6,13.6,0.4,0.4
Mike Hall,2,1.0,1.0,0.5,25.0,-,-,25.0,3.1,0.0
