Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Alaa Abdelnaby,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8
Zaid Abdul-Aziz,505,9.0,8.0,1.2,42.8,72.8,15.1,17.5
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Mahmoud Abdul-Rauf,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
Tariq Abdul-Wahad,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
Shareef Abdur-Rahim,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2
Tom Abernethy,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4
Forest Able,1,0.0,1.0,1.0,0.0,-,-41.0,0.0
John Abramovic,56,9.5,-,0.7,23.7,68.6,-,-1.9
Álex Abrines,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0
Alex Acker,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2
Don Ackerman,28,1.5,0.5,0.8,22.2,53.6,1.0,-0.6
Mark Acres,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3
Bud Acton,23,3.3,2.0,0.5,39.2,65.5,9.5,0.1
Quincy Acy,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7
Alvan Adams,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5
Don Adams,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7
George Adams,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,14.0,6.6
Hassan Adams,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8
Jaylen Adams,34,3.2,1.8,1.9,34.5,33.8,77.8,45.9,7.6,0.1
Jordan Adams,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4
Michael Adams,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9
Steven Adams,63,530,10.9,9.8,9.3,7.6,2.3,1.2,59.2,58.9,33.3,10.0,58.2,55.7,59.3,58.9,20.5,17.2,6.5,45.2
Rafael Addison,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9
Bam Adebayo,72,223,15.9,10.5,10.2,7.7,5.1,2.9,55.7,55.3,14.3,13.9,69.1,71.0,55.8,55.5,20.3,18.4,8.5,19.5
Deng Adel,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2
Rick Adelman,462,7.7,2.4,3.5,41.5,71.3,11.3,10.0
Jeff Adrien,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4
Arron Afflalo,762,10.8,2.9,1.8,45.0,38.6,82.5,51.4,11.9,33.5
Maurice Ager,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9
Mark Aguirre,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8
Blake Ahearn,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2
Danny Ainge,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5
Matthew Aitch,45,5.6,3.6,0.4,40.5,0.0,67.5,40.5,11.9,0.5
Alexis Ajinça,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5
Henry Akin,88,3.5,2.1,0.5,35.0,0.0,67.6,35.0,7.4,-1.2
Josh Akognon,3,1.7,0.3,0.3,50.0,50.0,-,62.5,15.3,0.0
DeVaughn Akoon-Purcell,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0
Solomon Alabi,26,1.5,2.3,0.2,31.4,-,70.0,31.4,10.3,0.0
Mark Alarie,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4
Gary Alcorn,78,3.3,4.2,0.3,29.3,59.8,6.5,-1.3
Furkan Aldemir,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4
Cole Aldrich,339,3.1,3.3,0.5,52.7,-,73.8,52.7,16.6,9.6
LaMarcus Aldridge,53,1003,18.9,19.5,7.4,8.3,2.4,2.0,49.3,49.1,38.9,31.2,82.7,81.1,53.2,49.7,19.7,20.8,4.5,111.4
Chuck Aleksinas,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4
Cliff Alexander,8,1.3,0.8,0.0,50.0,-,-,50.0,11.6,0.0
Cory Alexander,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0
Courtney Alexander,187,9.0,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1
Gary Alexander,11,1.7,1.4,0.2,57.1,-,33.3,57.1,8.6,0.0
Joe Alexander,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5
Kyle Alexander,2,2,1.0,1.0,1.5,1.5,0.0,0.0,50.0,50.0,-,-,-,-,50.0,50.0,4.7,4.7,0.0,0.0
Victor Alexander,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8
Nickeil Alexander-Walker,47,47,5.7,5.7,1.8,1.8,1.9,1.9,36.8,36.8,34.6,34.6,67.6,67.6,45.5,45.5,8.9,8.9,-0.2,-0.2
Steve Alford,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2
Rawle Alkins,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1
Bill Allen,38,7.9,7.1,0.6,42.9,100.0,58.6,43.2,11.9,0.6
Bob Allen,27,1.8,2.1,0.4,32.6,55.6,6.8,0.1
Grayson Allen,38,76,8.7,7.1,2.2,1.4,1.4,1.0,46.6,42.9,40.4,37.1,86.7,80.0,58.0,53.3,12.0,10.3,1.2,1.2
Jarrett Allen,70,222,11.1,10.1,9.6,7.8,1.6,1.2,64.9,60.9,0.0,16.7,63.3,69.4,64.9,61.3,20.7,19.0,8.2,20.0
Jerome Allen,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2
Kadeem Allen,10,47,5.0,5.5,0.9,1.5,2.1,2.3,43.2,43.5,31.3,34.9,63.6,75.7,48.9,48.8,14.0,13.5,0.1,1.0
Lavoy Allen,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,12.5,13.8
Lucius Allen,702,13.4,3.1,4.5,46.3,76.0,15.5,42.0
Malik Allen,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6
Randy Allen,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2
Ray Allen,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1
Tony Allen,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
Willie Allen,7,1.9,2.0,0.6,30.8,-,83.3,30.8,5.7,0.0
Odis Allison,36,1.9,1.3,0.3,21.8,54.1,4.7,-0.6
Lance Allred,3,1.0,0.3,0.0,25.0,-,50.0,25.0,-1.0,0.0
Darrell Allums,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3
Morris Almond,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0
Derrick Alston,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6
Rafer Alston,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
Peter Aluma,2,1.0,1.0,0.0,50.0,-,-,50.0,3.1,0.0
John Amaechi,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5
Ashraf Amaya,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9
Al-Farouq Aminu,18,688,4.3,7.6,4.8,6.1,1.2,1.2,29.1,42.1,25.0,33.5,65.5,74.5,34.3,47.9,7.6,12.3,0.1,27.5
Lou Amundson,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9
Bob Anderegg,33,4.0,2.1,0.9,38.5,54.8,9.3,0.0
Chris Andersen,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7
David Andersen,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5
Alan Anderson,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,10.3,7.4
Andrew Anderson,194,10.7,2.7,1.7,41.0,15.9,75.5,41.3,10.9,3.5
Antonio Anderson,1,2.0,1.0,0.0,33.3,-,-,33.3,-1.7,0.0
Cliff Anderson,84,3.0,1.3,0.9,35.4,-,58.5,35.4,10.6,0.3
Dan Anderson,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9
Dan Anderson,95,3.7,1.0,1.7,47.2,84.6,12.3,1.6
Derek Anderson,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9
Dwight Anderson,5,4.2,0.4,0.6,50.0,-,70.0,50.0,10.6,0.0
Eric Anderson,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2
Greg Anderson,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7
J.J. Anderson,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7
James Anderson,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3
Jerome Anderson,49,2.6,0.5,0.3,49.0,69.4,11.4,0.4
Justin Anderson,10,226,2.8,5.2,2.1,2.5,0.8,0.7,26.3,41.3,20.7,29.6,50.0,77.4,34.2,48.5,3.2,12.6,-0.1,4.6
Kenny Anderson,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5
Kim Anderson,21,3.0,2.1,0.7,31.2,53.6,3.0,-0.4
Kyle Anderson,67,367,5.8,5.4,4.3,4.0,2.4,2.0,47.4,48.8,28.2,31.1,66.7,69.9,51.1,51.3,12.5,13.4,2.5,17.9
Michael Anderson,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2
Nick Anderson,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3
Richard Anderson,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6
Ron Anderson,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2
Ryan Anderson,2,649,2.5,12.3,3.5,5.3,1.0,0.9,28.6,42.2,20.0,38.0,-,85.4,35.7,52.3,9.4,16.5,0.0,46.7
Shandon Anderson,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6
Willie Anderson,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9
Wally Anderzunas,44,3.6,1.9,0.2,39.2,63.0,8.8,-0.2
Martynas Andriuškevičius,6,0.0,0.7,0.0,0.0,-,-,0.0,15.5,0.0
Don Anielak,1,3.0,2.0,0.0,0.0,75.0,1.8,-0.1
Ike Anigbogu,14,0.9,0.9,0.1,33.3,-,83.3,33.3,17.0,0.0
Michael Ansley,149,6.9,4.2,0.4,51.3,-,72.2,51.3,17.0,6.4
Chris Anstey,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,13.2,2.8
Giannis Antetokounmpo,63,528,29.5,20.1,13.6,8.9,5.6,4.3,55.3,52.6,30.4,28.4,63.3,72.2,58.9,54.7,31.9,23.0,11.1,64.4
Kostas Antetokounmpo,5,7,1.4,1.3,0.6,0.6,0.4,0.3,100.0,50.0,-,-,50.0,50.0,100.0,50.0,16.3,10.2,0.1,0.0
Thanasis Antetokounmpo,20,22,2.8,2.8,1.2,1.1,0.8,0.7,50.0,51.9,0.0,0.0,41.2,41.2,50.0,51.9,12.2,13.1,0.2,0.2
Carmelo Anthony,58,1122,15.4,23.6,6.3,6.5,1.5,2.9,43.0,44.8,38.5,34.9,84.5,81.2,48.5,48.2,12.4,19.9,1.3,102.3
Greg Anthony,757,7.3,1.9,4.0,40.3,34.9,73.3,46.7,14.5,35.9
Joel Anthony,490,2.2,2.8,0.2,51.3,-,66.2,51.3,9.7,15.3
Pero Antić,113,6.3,3.5,0.9,39.2,31.4,73.0,48.3,10.6,3.0
OG Anunoby,69,210,10.6,7.8,5.3,3.5,1.6,1.0,50.5,48.0,39.0,36.5,70.6,65.0,58.4,56.7,13.2,11.3,5.7,10.7
Keith Appling,5,1.2,0.2,0.2,25.0,0.0,100.0,25.0,-4.8,-0.1
Rafael Araújo,139,2.8,2.8,0.3,40.5,25.0,67.9,40.6,6.3,-0.4
Stacey Arceneaux,7,7.1,4.6,0.6,39.3,46.2,10.4,-0.1
Robert Archibald,44,1.2,1.6,0.4,28.3,-,42.9,28.3,4.9,0.0
Tiny Archibald,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4
