Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Žan Tabak,247,5.0,3.6,0.7,50.6,0.0,52.5,50.6,11.3,2.4
Yuta Tabuse,4,1.8,1.0,0.8,16.7,100.0,100.0,25.0,15.6,0.0
Chris Taft,17,2.8,2.1,0.1,60.5,-,16.7,60.5,15.6,0.5
Sid Tanenbaum,70,9.0,-,2.3,27.4,83.0,-,2.2
Dragan Tarlać,43,2.4,2.8,0.7,39.4,-,75.8,39.4,5.6,-0.2
Roy Tarpley,280,12.6,10.0,1.0,48.3,17.6,74.4,48.4,18.4,19.8
Levern Tart,274,19.4,5.0,3.0,44.5,25.3,78.4,44.7,17.0,19.9
Earl Tatum,262,9.6,2.6,1.9,45.9,33.3,74.6,46.0,14.2,7.8
Jayson Tatum,66,225,23.4,17.3,7.0,6.0,3.0,2.2,45.0,45.7,40.3,40.1,81.2,82.9,52.7,52.3,20.4,16.8,6.9,18.9
Edy Tavares,13,2.5,2.5,0.3,62.5,-,27.3,62.5,16.3,0.2
Anthony Taylor,21,6.9,1.6,2.0,39.7,0.0,75.0,39.7,11.1,0.2
Brian Taylor,601,13.1,2.7,4.1,49.3,35.6,78.0,51.0,14.8,46.8
Donell Taylor,98,2.7,1.1,0.9,39.5,20.6,64.1,40.8,10.2,0.0
Fatty Taylor,640,8.0,3.9,4.0,43.8,20.6,67.6,44.1,10.5,17.0
Fred Taylor,88,4.4,1.6,0.8,36.4,59.2,8.7,-0.6
Isaiah Taylor,71,6.3,1.4,2.9,41.3,24.4,69.9,43.8,10.4,0.6
Jay Taylor,17,3.0,0.6,0.3,40.4,23.1,66.7,43.3,9.5,-0.1
Jeff Taylor,56,3.2,1.5,2.0,41.2,0.0,69.6,41.2,8.1,-0.1
Jeffery Taylor,132,6.1,2.0,0.8,40.9,31.9,66.5,46.5,8.9,1.3
Jermaine Taylor,65,5.4,1.7,0.7,44.1,28.4,73.0,47.1,11.9,0.2
Johnny Taylor,54,4.7,2.2,0.5,40.2,39.4,71.8,45.8,8.7,0.1
Leonard Taylor,10,1.1,1.2,0.1,0.0,0.0,68.8,0.0,3.8,-0.1
Maurice Taylor,534,11.0,4.6,1.2,46.6,15.2,71.1,46.7,13.1,9.9
Mike Taylor,51,5.7,1.7,2.1,41.2,32.5,69.1,43.6,10.1,-0.4
Oliver Taylor,262,9.7,4.2,2.4,45.6,23.4,68.3,46.0,12.0,10.9
Ronald Taylor,77,4.8,3.8,0.9,46.6,-,55.3,46.6,9.1,1.5
Tyshawn Taylor,61,2.9,0.5,0.9,35.4,36.0,68.4,37.9,5.8,-0.9
Vince Taylor,31,3.1,1.2,1.3,36.3,-,65.6,36.3,7.6,0.1
Terry Teagle,687,11.6,2.6,1.4,46.5,21.0,79.2,46.7,13.7,13.4
Jeff Teague,59,771,10.9,12.6,2.4,2.5,5.2,5.8,43.6,44.5,36.8,35.6,87.3,84.4,48.0,48.8,14.6,17.0,2.5,50.8
Marquis Teague,91,2.4,1.0,1.5,34.3,22.2,66.1,36.3,4.9,-0.9
Mirza Teletović,324,8.1,3.2,0.8,40.6,37.1,75.5,52.4,13.0,8.8
Sebastian Telfair,564,7.4,1.6,3.5,39.0,31.9,77.7,43.6,10.8,5.0
Collis Temple,24,1.8,1.3,0.6,41.5,0.0,80.0,41.5,12.9,0.1
Garrett Temple,62,576,10.3,6.4,3.5,2.3,2.5,1.7,37.8,40.3,32.9,34.7,80.5,73.9,48.6,49.0,10.5,9.6,2.4,13.8
Miloš Teodosić,60,8.0,2.4,4.0,42.0,37.8,81.1,54.3,11.0,1.3
Ira Terrell,127,7.0,4.2,1.1,49.8,63.8,11.8,4.1
Jared Terrell,14,2.2,0.4,0.9,30.8,23.5,50.0,35.9,0.7,-0.3
Carlos Terry,94,3.0,2.4,1.3,43.4,0.0,67.2,43.4,10.4,1.5
Chuck Terry,341,3.8,2.4,0.8,41.9,32.3,77.5,42.2,8.5,6.4
Claude Terry,349,5.5,1.4,1.3,46.8,33.8,78.5,48.3,11.9,6.9
Emanuel Terry,3,3.3,2.3,0.7,57.1,-,50.0,57.1,19.7,0.1
Jason Terry,1410,13.4,2.3,3.8,44.4,38.0,84.5,51.7,16.2,102.0
Hasheem Thabeet,224,2.2,2.7,0.1,56.7,-,57.8,56.7,10.3,4.8
