Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Fred LaCour,144,6.5,3.3,1.9,42.1,77.4,11.8,3.4
Raef LaFrentz,563,10.1,6.1,1.1,46.6,36.3,71.1,51.6,16.1,39.4
Tom LaGarde,312,7.6,5.1,1.5,46.2,0.0,64.0,46.2,11.5,6.5
Rusty LaRue,98,5.0,1.3,1.6,37.6,31.8,84.1,43.1,8.9,0.5
Rudy LaRusso,736,15.6,9.4,2.1,43.1,76.7,15.4,61.4
Zach LaVine,60,353,25.5,17.7,4.8,3.6,4.2,3.6,45.0,44.7,38.0,37.5,80.2,81.9,52.6,51.1,19.4,15.7,4.0,12.0
Skal Labissière,33,148,5.8,7.2,5.1,4.5,1.3,1.0,55.1,49.2,23.1,35.3,75.8,74.8,56.1,50.9,15.4,15.0,1.4,4.4
Reggie Lacefield,8,3.0,1.4,0.0,50.0,0.0,50.0,50.0,12.8,0.1
Edgar Lacey,46,5.1,3.9,0.7,44.7,0.0,56.7,44.7,10.5,0.5
Sam Lacey,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9
Bob Lackey,71,5.8,2.3,1.9,43.1,40.0,59.3,43.4,7.3,-0.1
Wendell Ladner,300,11.6,8.3,2.1,38.6,25.2,71.2,40.0,12.5,3.6
Christian Laettner,868,12.8,6.7,2.6,48.0,26.1,82.0,48.6,16.9,64.9
Oliver Lafayette,1,7.0,4.0,2.0,50.0,50.0,-,58.3,12.8,0.0
Bill Laimbeer,1068,12.9,9.7,2.0,49.8,32.6,83.7,50.7,16.1,105.6
Pete Lalich,1,0.0,-,0.0,0.0,-,-,0.0
Bo Lamar,273,16.4,2.7,3.9,41.1,26.7,76.8,42.4,14.6,5.4
Doron Lamb,100,3.5,1.0,0.8,38.1,39.4,70.0,45.8,6.3,0.1
Jeremy Lamb,46,481,12.5,10.5,4.3,3.7,2.1,1.6,45.1,44.4,33.5,33.9,83.6,85.1,50.6,50.3,14.0,15.8,2.7,23.4
John Lambert,446,3.8,3.3,0.6,42.8,8.3,69.3,42.8,10.4,6.9
Jeff Lamp,291,5.1,1.5,0.9,47.0,22.2,84.1,47.4,11.5,5.2
Maciej Lampe,64,3.4,2.2,0.3,40.7,25.0,67.6,41.1,8.5,-0.2
Jim Lampley,1,3.0,5.0,0.0,33.3,-,50.0,33.3,8.3,0.0
Sean Lampley,45,4.5,2.1,0.7,46.3,0.0,69.1,46.3,13.5,1.1
Carl Landry,513,10.8,4.9,0.7,53.5,30.0,78.5,53.6,17.5,35.9
Marcus Landry,18,2.4,1.1,0.0,37.2,32.1,60.0,47.7,7.2,-0.1
Mark Landsberger,437,5.6,6.1,0.5,48.1,0.0,52.2,48.1,12.8,12.2
Jerome Lane,218,5.3,5.8,1.5,44.1,6.3,37.9,44.2,12.6,2.3
Andrew Lang,737,6.0,4.8,0.6,47.0,25.0,74.4,47.1,11.7,28.6
Antonio Lang,143,2.3,1.5,0.3,45.5,0.0,71.9,45.5,8.8,1.7
James Lang,11,1.0,1.0,0.2,44.4,-,60.0,44.4,6.6,0.1
Trajan Langdon,119,5.4,1.3,1.3,41.6,39.6,91.0,49.7,12.2,2.9
Keith Langford,2,1.0,1.0,0.0,25.0,-,-,25.0,-2.4,0.0
Romeo Langford,32,32,2.5,2.5,1.3,1.3,0.4,0.4,35.0,35.0,18.5,18.5,72.0,72.0,38.1,38.1,5.4,5.4,0.2,0.2
Dan Langhi,133,3.0,1.5,0.3,39.1,28.9,61.3,40.3,8.8,0.3
Bob Lanier,959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1
Stu Lantz,547,12.4,3.3,2.9,43.5,81.4,13.4,32.5
Nicolás Laprovíttola,18,3.3,0.6,1.6,42.6,37.0,100.0,53.2,8.4,0.2
York Larese,59,5.1,1.3,1.6,37.3,80.6,9.2,0.3
Shane Larkin,256,5.5,1.9,2.9,42.2,33.6,77.7,46.8,11.4,4.4
John Laskowski,118,7.1,2.4,0.8,39.8,76.0,10.9,2.0
Stéphane Lasme,16,5.2,3.3,0.2,45.1,-,59.4,45.1,11.7,0.3
Dave Lattin,263,7.2,5.1,0.7,47.7,0.0,63.1,47.7,13.6,6.3
Priest Lauderdale,74,3.4,1.9,0.4,47.2,0.0,55.4,47.2,11.3,-0.8
Rich Laurel,10,2.4,1.0,0.3,32.3,100.0,7.5,0.0
Harry Laurie,9,1.4,1.7,0.9,25.0,-,63.6,25.0,0.6,0.0
Walt Lautenbach,55,4.3,-,1.3,30.1,69.1,-,-1.3
Joffrey Lauvergne,208,5.6,3.8,0.9,47.9,28.5,71.9,50.4,14.3,5.2
Tony Lavelli,86,6.9,2.0,0.7,36.7,85.3,-,4.7
Bob Lavoy,264,8.2,6.2,1.5,38.4,70.7,15.0,15.9
Acie Law,188,3.9,1.0,1.6,41.3,23.5,77.8,43.4,9.9,1.6
Vic Law,8,8,1.9,1.9,1.4,1.4,0.4,0.4,33.3,33.3,14.3,14.3,33.3,33.3,36.1,36.1,3.7,3.7,-0.1,-0.1
Gani Lawal,1,0.0,0.0,0.0,-,-,-,-,-9.1,0.0
Edmund Lawrence,3,4.0,1.3,0.3,62.5,-,50.0,62.5,19.4,0.1
Jason Lawson,17,1.5,1.6,0.3,60.0,-,80.0,60.0,21.5,0.5
Ty Lawson,551,12.7,2.7,6.0,46.0,35.9,77.0,50.4,17.2,42.1
Jake Layman,23,164,9.1,5.3,2.5,1.9,0.7,0.5,45.3,45.6,33.3,30.9,75.0,72.4,52.0,52.4,10.3,11.2,0.3,3.0
Mo Layton,267,6.9,1.3,2.6,44.8,-,74.9,44.8,11.8,4.4
Caris LeVert,45,213,18.7,12.7,4.2,3.7,4.4,3.6,42.5,43.3,36.4,33.9,71.1,70.8,48.0,49.1,16.1,14.4,1.5,7.3
T.J. Leaf,28,139,3.0,3.3,2.5,2.0,0.3,0.3,41.9,49.1,27.8,34.1,43.8,57.1,44.8,53.0,12.9,13.8,0.3,2.7
Manny Leaks,446,11.9,9.0,1.1,44.0,0.0,70.7,44.0,15.0,14.4
Hal Lear,3,1.3,0.3,0.3,33.3,-,1.0,0.0
Allen Leavell,700,9.5,1.7,4.8,45.0,23.4,83.4,46.2,14.7,29.9
Jeff Lebo,4,1.5,1.0,0.8,28.6,-,100.0,28.6,5.8,0.0
