Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Hamady N'Diaye,33,0.6,0.8,0.1,46.7,-,46.2,46.7,3.9,0.0
Makhtar N'Diaye,4,1.3,1.3,0.3,25.0,-,75.0,25.0,3.9,0.0
Mamadou N'Diaye,69,3.8,3.3,0.1,42.7,0.0,73.6,42.7,13.3,1.8
Boniface N'Dong,23,2.2,1.6,0.3,41.5,0.0,66.7,41.5,11.0,0.2
Bob Naber,4,0.3,1.3,0.3,0.0,50.0,-10.4,-0.1
Boris Nachamkin,6,3.3,3.2,0.5,30.0,61.5,12.2,0.0
Boštjan Nachbar,317,7.1,2.6,0.9,40.6,37.5,78.4,49.4,11.5,8.7
Abdel Nader,55,164,6.3,4.5,1.8,1.8,0.7,0.5,46.8,42.1,37.5,35.2,77.3,71.6,55.9,50.3,11.3,8.9,1.3,2.1
Jerry Nagel,14,0.9,-,1.3,21.4,25.0,-,-0.1
Fritz Nagy,50,5.1,-,1.4,34.7,67.0,-,2.1
Lee Nailon,306,8.6,3.1,1.0,47.4,11.1,78.6,47.4,14.0,8.0
Eduardo Nájera,619,4.9,3.7,0.8,48.1,31.1,67.1,50.3,12.0,24.7
Larry Nance,920,17.1,8.0,2.6,54.6,14.5,75.5,54.6,19.9,109.6
Larry Nance,56,315,10.1,8.1,7.3,6.6,2.2,1.8,53.1,53.7,35.2,32.4,67.6,69.5,59.6,56.3,17.3,17.2,3.9,20.4
Shabazz Napier,56,345,10.3,7.1,2.8,1.9,4.7,2.5,41.2,39.7,31.7,34.5,82.4,81.5,49.6,48.2,13.8,12.9,1.7,8.1
Paul Napolitano,1,0.0,-,0.0,-,-,-,0.0
Bob Nash,236,4.7,2.3,0.7,42.9,0.0,72.9,42.9,11.1,2.4
Cotton Nash,84,5.6,3.3,0.8,34.0,0.0,76.6,34.0,12.7,0.9
Steve Nash,1217,14.3,3.0,8.5,49.0,42.8,90.4,55.6,20.0,129.7
Swen Nater,722,12.4,11.6,1.7,53.5,10.0,74.8,53.5,17.6,58.5
Howard Nathan,5,2.6,0.0,0.4,55.6,0.0,75.0,55.6,11.3,-0.1
Calvin Natt,599,17.2,6.8,2.2,52.8,21.9,76.8,52.9,17.9,57.2
Kenny Natt,49,3.1,0.8,0.8,41.7,20.0,62.1,42.3,7.3,-0.2
Willie Naulls,716,15.8,9.1,1.6,40.6,81.2,16.3,34.3
Juan Carlos Navarro,82,10.9,2.6,2.2,40.2,36.1,84.9,50.4,11.9,1.4
Maurice Ndour,32,3.1,2.0,0.3,45.3,14.3,73.1,45.9,11.3,0.4
Craig Neal,63,2.5,0.7,2.5,37.3,30.2,60.0,41.5,7.0,-0.4
Gary Neal,352,9.9,2.2,1.6,42.2,38.2,85.0,49.8,12.6,10.7
Jim Neal,80,4.4,3.8,0.4,30.1,60.1,8.1,0.1
Lloyd Neal,435,11.1,7.7,1.5,48.5,67.2,15.4,22.7
Ed Nealy,540,2.7,3.3,0.7,49.8,29.2,68.4,51.5,10.5,15.2
Nemanja Nedović,24,1.1,0.6,0.5,20.5,16.7,87.5,24.4,-1.7,-0.4
Al Negratti,11,2.8,-,0.5,18.8,62.5,-,-0.1
Barry Nelson,28,1.3,0.7,0.3,41.7,50.0,7.6,0.1
DeMarcus Nelson,13,4.1,1.8,1.0,44.4,0.0,35.7,44.4,6.5,-0.3
Don Nelson,1053,10.3,4.9,1.4,48.0,76.5,16.1,74.6
Jameer Nelson,878,11.3,3.0,5.1,43.6,36.8,81.0,50.2,14.4,48.3
Louie Nelson,224,9.4,2.4,1.9,43.7,73.8,12.6,6.4
Ron Nelson,59,3.2,0.9,0.8,41.9,33.3,75.9,42.2,6.2,0.3
Ruben Nembhard,10,4.0,0.8,1.7,43.2,0.0,80.0,43.2,13.3,0.2
Dick Nemelka,39,5.5,1.5,1.5,38.5,32.3,65.3,43.2,9.8,0.5
Tyrone Nesby,255,9.5,3.7,1.5,40.4,31.6,77.2,44.6,12.7,7.6
Martin Nessley,44,1.1,1.9,0.4,38.5,-,44.4,38.5,2.8,-0.1
Rasho Nesterović,811,6.8,5.1,1.0,50.2,7.7,58.5,50.2,13.3,39.9
Raul Neto,54,253,5.1,4.9,1.1,1.3,1.8,1.9,45.5,44.6,38.6,37.9,83.0,78.9,53.2,51.6,12.7,11.4,1.2,5.7
Bob Netolicky,618,16.0,8.9,1.4,49.2,19.4,66.1,49.3,17.4,48.0
Johnny Neumann,455,13.2,2.7,3.0,43.3,26.9,76.4,44.6,14.0,9.3
Paul Neumann,451,11.1,2.9,3.2,44.2,79.9,13.8,28.3
Chuck Nevitt,155,1.6,1.5,0.1,43.8,-,58.9,43.8,9.1,0.5
Melvin Newbern,33,3.6,1.1,1.7,37.2,12.5,56.7,37.6,11.5,0.0
Ivano Newbill,134,1.5,2.6,0.4,39.4,100.0,43.3,39.6,7.0,1.1
Ira Newble,380,5.1,2.9,0.9,44.6,34.1,77.8,47.0,9.6,9.3
Mike Newlin,837,14.9,3.0,4.0,46.6,30.2,87.0,46.9,15.5,50.4
Johnny Newman,1159,11.0,2.2,1.5,46.1,33.6,81.0,49.2,12.9,50.3
Malik Newman,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,-11.4,-11.4,0.0,0.0
Dave Newmark,176,5.7,3.9,0.7,42.0,-,64.9,42.0,12.3,1.9
Bill Newton,35,2.1,1.9,0.4,43.7,50.0,50.0,44.4,9.6,0.1
Georges Niang,66,157,5.9,4.2,1.9,1.5,0.7,0.6,43.8,43.6,40.0,38.7,83.3,82.7,57.8,55.8,11.7,11.4,1.8,2.8
Demetris Nichols,18,1.2,0.4,0.1,28.1,20.0,50.0,32.8,0.7,-0.2
Jack Nichols,505,10.4,6.9,1.9,36.8,75.2,11.8,24.8
Andrew Nicholson,285,6.0,3.0,0.4,46.7,32.1,77.3,49.5,12.2,3.8
Gaylon Nickerson,4,3.8,1.3,0.3,33.3,0.0,100.0,33.3,12.9,0.1
Carl Nicks,156,6.8,1.9,1.6,46.2,0.0,57.0,46.2,10.5,-0.4
Rich Niemann,187,6.6,5.8,0.8,47.6,-,73.5,47.6,14.9,7.3
Richie Niemiera,115,6.0,-,1.8,33.0,77.6,-,7.6
Mike Niles,44,2.6,1.3,0.3,34.8,50.0,45.9,35.5,6.7,-0.3
Kurt Nimphius,564,6.4,4.4,1.2,48.7,10.0,66.8,48.7,11.8,17.5
Dyron Nix,20,2.0,1.3,0.3,35.9,-,68.8,35.9,8.2,0.0
Norm Nixon,768,15.7,2.6,8.3,48.3,29.4,77.2,48.8,15.3,47.6
Joakim Noah,5,672,2.8,8.8,3.2,9.0,1.4,2.8,50.0,49.1,-,0.0,75.0,70.0,50.0,49.1,11.1,17.6,0.1,61.9
Chuck Noble,411,8.0,2.6,3.3,34.6,73.1,9.5,-0.9
Andrés Nocioni,514,10.5,4.5,1.2,43.1,37.3,79.9,49.7,12.9,21.8
David Noel,68,2.7,1.8,1.0,36.7,32.1,86.0,41.5,9.0,0.4
Nerlens Noel,61,361,7.4,8.0,4.9,6.2,0.9,1.2,68.4,54.3,33.3,28.6,75.5,64.8,68.6,54.3,20.4,17.4,4.9,21.6
Paul Noel,201,3.3,1.4,0.7,29.1,63.6,2.3,0.2
Lucas Nogueira,141,3.2,2.8,0.5,63.2,26.5,64.0,64.8,15.8,6.0
Jim Nolan,5,1.6,-,0.8,19.0,-,-,-0.2
