Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Joe Pace,79,3.2,2.1,0.3,46.7,59.8,14.3,1.1
Zaza Pachulia,1098,6.8,5.8,1.3,46.9,0.0,75.1,46.9,14.6,52.7
Robert Pack,552,8.9,2.0,4.6,42.5,29.2,78.7,43.9,15.0,14.4
Wayne Pack,21,2.9,1.0,0.6,38.3,29.4,83.3,42.5,7.3,0.1
Gerald Paddio,129,5.5,1.4,1.0,42.1,24.2,74.6,42.6,10.6,0.1
Scott Padgett,448,4.2,2.7,0.7,41.0,37.3,73.6,48.2,12.9,13.2
Dana Pagett,5,1.0,0.6,1.2,11.1,33.3,66.7,16.7,-2.9,-0.1
Marcus Paige,5,2.4,0.8,0.6,28.6,25.0,100.0,35.7,9.1,0.0
Fred Paine,3,2.3,-,0.3,15.8,20.0,-,-0.3
Milt Palacio,470,4.8,1.8,2.5,41.9,23.5,71.9,42.9,9.9,3.9
Togo Palazzi,324,7.4,3.4,0.7,38.6,73.0,15.2,6.5
Bud Palmer,148,11.7,-,1.3,32.6,73.9,-,18.5
Errol Palmer,63,7.9,7.5,1.4,36.4,-,67.2,36.4,17.2,4.2
Jim Palmer,196,8.1,5.3,0.8,41.3,70.3,12.2,4.5
Walter Palmer,48,2.1,1.4,0.2,41.2,0.0,66.7,41.2,11.0,-0.1
Andy Panko,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0
Georgios Papagiannis,39,4.1,3.2,0.7,51.4,0.0,85.7,51.4,12.6,0.4
Kostas Papanikolaou,69,3.6,2.3,1.5,35.4,29.7,68.8,43.2,7.3,0.3
Jannero Pargo,499,6.4,1.4,2.0,39.1,35.6,86.4,45.5,11.8,4.9
Jeremy Pargo,3,86,8.3,4.8,1.0,1.0,2.7,1.8,50.0,37.9,42.9,31.9,0.0,64.4,56.8,42.4,12.6,8.2,0.0,-0.8
Easy Parham,133,5.4,1.3,2.1,31.6,52.2,-,0.4
Robert Parish,1611,14.5,9.1,1.4,53.7,0.0,72.1,53.7,19.2,147.0
Med Park,313,6.1,3.1,1.7,37.9,72.8,11.3,7.5
Anthony Parker,494,9.1,3.2,2.3,44.4,40.4,79.4,52.3,12.2,24.5
Jabari Parker,38,285,14.0,14.9,5.6,5.7,1.8,2.1,51.0,49.3,26.9,32.4,75.3,74.0,54.8,52.2,18.0,16.4,1.6,13.2
Smush Parker,274,9.0,2.4,2.9,42.6,34.5,70.8,49.4,11.7,7.4
Sonny Parker,452,9.9,4.1,2.1,50.1,0.0,75.5,50.1,15.6,26.9
Tony Parker,1254,15.5,2.7,5.6,49.1,32.4,75.1,50.8,18.2,111.3
Barry Parkhill,173,5.6,1.3,2.2,39.9,11.4,76.9,40.1,6.2,-2.9
Jack Parkinson,4,0.8,-,0.5,8.3,100.0,-,-0.2
Charles Parks,2,0.0,0.0,0.0,0.0,-,-,0.0,-10.8,0.0
Cherokee Parks,472,4.4,3.6,0.6,47.0,21.1,63.0,47.2,12.0,11.8
Richard Parks,40,3.3,2.9,0.4,44.4,33.3,57.1,44.7,11.4,0.5
Jack Parr,66,4.0,4.2,0.8,35.5,60.3,7.9,-0.3
Doyle Parrack,58,4.7,-,0.3,26.6,65.0,-,1.1
Charlie Parsley,9,2.4,-,0.9,25.8,85.7,-,0.0
Chandler Parsons,5,440,2.8,12.7,1.4,4.5,0.6,2.7,27.8,46.2,28.6,37.3,-,71.3,38.9,53.6,5.6,14.7,-0.1,28.9
Eric Paschall,60,60,14.0,14.0,4.6,4.6,2.1,2.1,49.7,49.7,28.7,28.7,77.4,77.4,52.6,52.6,14.5,14.5,2.1,2.1
Anžejs Pasečņiks,27,27,5.8,5.8,4.0,4.0,0.7,0.7,52.6,52.6,0.0,0.0,58.6,58.6,52.6,52.6,11.3,11.3,0.5,0.5
Žarko Paspalj,28,2.6,1.1,0.4,34.2,0.0,81.8,34.2,4.3,-0.3
Marty Passaglia,53,2.8,-,0.5,23.4,58.3,-,-0.1
George Pastushok,39,3.1,-,0.4,26.2,54.3,-,0.0
Myles Patrick,3,1.7,0.7,0.3,40.0,-,50.0,40.0,6.9,0.0
Stan Patrick,53,6.1,-,1.4,39.5,60.5,-,1.6
Andrae Patterson,40,3.0,1.7,0.4,45.5,0.0,77.8,45.5,14.3,0.7
George Patterson,59,2.0,2.7,0.9,33.1,84.2,7.9,0.1
Lamar Patterson,40,2.3,1.4,1.1,32.6,23.6,72.0,39.5,4.4,0.1
Patrick Patterson,59,681,4.9,6.7,2.6,4.0,0.7,1.0,40.8,44.8,39.0,36.9,81.4,75.5,55.2,52.1,11.5,12.5,1.9,30.6
Ruben Patterson,649,10.7,4.2,1.8,51.7,17.9,64.1,52.0,17.1,35.1
Steve Patterson,350,4.4,4.7,1.3,40.3,59.4,11.2,4.8
Tom Patterson,25,2.2,1.0,0.2,42.0,77.8,15.1,0.2
Worthy Patterson,4,1.8,0.5,0.5,37.5,50.0,11.0,0.0
Justin Patton,5,9,1.8,1.8,1.0,1.2,0.4,0.6,40.0,36.8,25.0,16.7,-,50.0,45.0,39.5,4.7,8.4,0.0,0.0
Brandon Paul,64,2.3,1.1,0.6,43.3,27.8,51.2,49.2,7.4,0.5
Chris Paul,70,1020,17.6,18.5,5.0,4.5,6.7,9.5,48.9,47.1,36.5,37.0,90.7,87.0,55.2,52.0,21.7,25.1,8.9,180.3
Charlie Paulk,120,6.2,3.9,0.3,39.2,61.1,9.8,-0.9
Jerry Paulson,6,3.3,1.7,0.7,34.8,66.7,7.9,0.0
Billy Paultz,1124,11.7,8.0,2.0,49.7,0.0,69.0,49.7,16.3,70.4
Sasha Pavlović,567,4.9,1.8,0.9,40.4,34.6,67.3,46.2,8.3,7.0
Jim Paxson,138,8.0,4.5,1.6,32.3,72.7,10.6,2.8
Jim Paxson,784,14.3,2.0,2.9,49.8,22.5,80.7,50.3,16.1,53.7
John Paxson,772,7.2,1.2,3.6,49.9,35.5,80.4,52.8,12.0,36.3
Johnny Payak,120,6.3,1.7,1.9,32.1,71.5,11.9,3.9
Adreian Payne,107,4.0,2.9,0.6,40.6,25.4,68.0,42.3,8.0,-0.6
Cameron Payne,8,161,10.9,6.2,3.9,1.9,3.0,2.5,48.5,40.3,51.7,34.4,85.7,78.1,59.6,47.4,15.7,11.7,0.5,2.7
Kenny Payne,144,3.5,1.2,0.4,41.0,29.3,85.9,42.6,10.3,-0.1
Tom Payne,29,4.1,2.4,0.5,43.7,63.0,15.0,0.3
Elfrid Payton,45,387,10.0,11.0,4.7,4.4,7.2,6.6,43.9,45.2,20.3,28.9,57.0,62.5,45.5,47.3,16.0,15.3,1.7,14.9
